"Timestamp","1. ¿En qué cuatrimestre te encuentras actualmente? ","2. ¿Cuál es tu promedio general actual?","3. ¿Has utilizado alguna herramienta de inteligencia artificial (IA) en tus tareas escolares?","4. ¿Con qué frecuencia usas IA para tus actividades académicas?","5. ¿Qué herramientas de IA has utilizado? (Selecciona todas las que apliquen) 
","6. ¿En qué asignaturas usas más la IA? (Selecciona hasta 3) 
","7. ¿Para qué fines utilizas la IA? (Selecciona todas las que apliquen) 
","8. ¿Crees que usar IA para generar código constituye plagio si se entiende y se modifica la solución? 
","9. ¿Has recibido orientación de tus profesores sobre el uso ético y responsable de la IA? 
","10. ¿Qué opinas sobre la prohibición de usar IA en exámenes o tareas evaluadas? 
","11. ¿Te sientes más productivo al usar IA? ","12. ¿Confías plenamente en las respuestas que te da la IA? ","13. ¿Qué te gustaría que los profesores o la institución hicieran respecto al uso de la inteligencia artificial en clase?
(Respuesta abierta, hasta 150 palabras)","14. ¿Tienes alguna experiencia positiva o negativa que quieras compartir sobre el uso de IA en tus estudios?
(Respuesta abierta, hasta 150 palabras)"
"2025/09/04 8:20:37 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI)","Redacción de Informes Técnicos","Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","Pues estaría bastante bien que la permitieran pero pues más bien para darte una idea de que tienes que hacer por qué a veces yo busco explicaciones con ella porque no termino de entender del todo a los maestros ","Pues una Positiva que si nos ayudó a alumnos que la usábamos como se debía y la negativa es que muchos de mis compañeros de preparatoria están batallando en la uni porque todo lo hacian con la IA"
"2025/09/04 8:20:40 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Otra","Ciencias Básicas (Matemáticas, Física);Otra","Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Que la permitieran cuando se trata de realizar trabajos que son difíciles de hacer sin preparación previa.
En momentos de exámen debería quedar prohibida para promover la honestidad al momento de realizarlo.","Es regular.
La IA es una herramienta de asistencia personal, es muy útil, pero no debemos verlo como una solución a todos nuestros problemas. Siempre tenemos que usarlo con responsabilidad y no como una salida a lo fácil."
"2025/09/04 8:21:57 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","Menos de 8.0","Sí","Varias veces por semana","ChatGPT (OpenAI)","Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","En parte, luego las verifico","Que los permitiera utilizar la IA para algunas actividades o investigaciones ","Que fue una herramienta que me ayudó a entender código de programación mejor "
"2025/09/04 8:21:59 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI)","Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código","Depende del contexto","Sí, en alguna ocasión","No tengo opinión formada","No, me distrae","No, siempre las reviso y modifico","Pues usar la cuando la necesitamos y que no sea para todo, a mi gusto la verdad casi no uso IA. ","La IA debería existir pero con ciertas reglas, porque hoy en día la gente y más que todos los docentes no quieren batallar y usan la IA depende de eso en pocas palabras esta mal. "
"2025/09/04 8:24:19 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","Gemini (Google);Microsoft Bing AI / Copilot","Ciencias Básicas (Matemáticas, Física);Otra","Otra","No, si se entiende y se adapta, no es plagio","No sé si es necesario","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Que se utilize como última opción para trabajos más complejos o requiera uso de esta para alguna situación en la que al buscar información de sierto tema no te sale mucha de la información requerir usarla.","No necesariamente."
"2025/09/04 8:24:37 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Otra","Otra","Traducir o redactar textos técnicos;Otra","Depende del contexto","No, nunca","Es necesaria para garantizar la honestidad académica","Sí, un poco más","No, siempre las reviso y modifico","Limitar su uso para trabajos de matematica","He detectado algunas fallas con la información que otorga la IA, ya que no siempre es correcta"
"2025/09/04 8:27:39 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","No (Si respondes ""No"", pasa a la pregunta 13)","Ocasionalmente","Otra","Desarrollo Humano y Valores","Preparar presentaciones","No lo sé","No sé si es necesario","No tengo opinión formada","Sí, un poco más","En parte, luego las verifico","Lo más posiblemente ","No tengo experiencia "
"2025/09/04 10:07:05 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Diariamente","ChatGPT (OpenAI);GitHub Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","Que se permita para realizar ciertas actividades, así ser más productivos","El uso de la IA me ha permitido ser más productivo y eficaz en todas mis tareas"
"2025/09/04 10:07:28 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo de Aplicaciones Web/Móviles;Otra","Generar código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Impartir algún tipo de curso o tutoría donde se informe y fomente maneras de uso responsable y efectiva",""
"2025/09/04 10:07:30 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","No, siempre las reviso y modifico","que fuera permitida en ciertos contextos en lugar de una prohibicion total de la misma","Las explicaciones y las simplificaciones que dan a la hora de preguntar acerca de un tema en especifico ayuda demasiado a lograr un mejor entendimiento de el tema."
"2025/09/04 10:07:54 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","",""
"2025/09/04 10:07:55 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","Creo que esta bien el utilizarla como una herramienta de apoyo de vez en cuando pero sinceramente opino que deberían de restringir su uso diario, ya que se usa indiscriminadamente.","Me ha ayudado a comprender errores de código y a estudiar temas complicados"
"2025/09/04 10:08:09 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","","me ayuda a hacer mas completas mis tareas "
"2025/09/04 10:08:18 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Una vez por semana","ChatGPT (OpenAI)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales)","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","No, me distrae","En parte, luego las verifico","Que se permita pero con un uso responsable, pienso que podemos hacerla una aliada. Es imposible ya que la quiten, es por ello que sería convertirla en una herramienta, pero no que haga todo nuestro trabajo.",""
"2025/09/04 10:08:35 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Diariamente","ChatGPT (OpenAI);Claude (Anthropic)","Desarrollo Humano y Valores;Bases de Datos;Ciencias Básicas (Matemáticas, Física)","Depurar o corregir errores en código;Explicar conceptos complejos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","No creo que deberian prohibirla ya que es una herramienta muy util pero si deberian ser mas claros con los alumnos el que pasa si no la usan, solo considero que deberian ser mas rigorosos a la hora de verificar si algo se hizo con ia para asi orientar al estudiante a hacer las cosas por su cuenta","Me ayuda a organizar mis notas e ideas, de temas que estoy empezando a ver o aprender, pero si considero que la dependencia en ella puede ser danina ya que es muy facil que tu evites pensar por ti mismo y asi evitando el desarollo de habilidades cognitivas"
"2025/09/04 10:08:56 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot","Desarrollo Humano y Valores;Bases de Datos;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Preparar presentaciones","No lo sé","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","No, me distrae","En parte, luego las verifico","",""
"2025/09/04 10:09:43 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot","Bases de Datos;Redacción de Informes Técnicos;Otra","Depurar o corregir errores en código;Explicar conceptos complejos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","","me ayuda a mejorar mis tareas"
"2025/09/04 10:10:00 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Diariamente","ChatGPT (OpenAI)","Bases de Datos;Ciencias Básicas (Matemáticas, Física);Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","No, siempre las reviso y modifico","que muestren un uso correcto, pues muchas personas solo copian y pegan lo que les da la IA","me a ayudado mucho sobre todo en problemas de codigo y en problemas de mi laptop, muchas veces no encuentras videos explicativos o tutoriales de ciertos temas y la IA ayuda mucho en ese sentido, incluso aveces los profes no explican o no explican bien y al preguntar a la IA que te explique paso a paso detalladamente pues ayuda mucho"
"2025/09/04 10:10:31 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI);GitHub Copilot;Microsoft Bing AI / Copilot","Ciencias Básicas (Matemáticas, Física);Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","En parte, luego las verifico","Aprender a utilizarla de manera etica para ayudarnos a mejorar nuestras ideas y proyectos","La IA me ah ayudado en ciertos problemas con proyectos y los he entendido mejor gracias la explicacion de la IA que de muchos profesores."
"2025/09/04 10:10:44 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot;Claude (Anthropic);Otra","Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Es necesaria para garantizar la honestidad académica","Sí, un poco más","No, siempre las reviso y modifico","Establecer limites de cuando usarla en trabajos o examenes
Enseñar o dar ejemplos de cuando y como utilizarla ","Si ayuda a solucion de errores de codigo, a entender y aprender, pero tmb si lo usas demasiado dejas de aprender y dependes completamente de la ia, esta bn usarla siempre y cuando comprendas lo que estas realizando "
"2025/09/04 10:11:04 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Desarrollo de Aplicaciones Web/Móviles;Proyectos de Integración","Depurar o corregir errores en código;Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","Que nos enseñaran a como usarla de manera etica sin abusar de ella.","La IA hace que la comprension sea mas sencilla"
"2025/09/04 10:11:10 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot;Claude (Anthropic);Otra","Bases de Datos;Ciencias Básicas (Matemáticas, Física)","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","No sé si es necesario","Es necesaria para garantizar la honestidad académica","Sí, mucho más","En parte, luego las verifico","Que la implementaran para aprovechar la tecnología al máximo","Me ha ayudado mucho a comprender temas complejos."
"2025/09/04 10:11:11 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);GitHub Copilot;Microsoft Bing AI / Copilot;Claude (Anthropic)","Bases de Datos;Desarrollo de Aplicaciones Web/Móviles","Generar código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","Que hagan uso de ellas para tener otra opcion sobre el contenido que se presenta asi como se hacia con los libros","Mi experiencia  ha sido positiva ya que en algunas ocaciones no se entiende de un tema o palbras tecnicas y el uso de la AI facilitala compresion de dichos conceptos."
"2025/09/04 10:11:17 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Una vez por semana","ChatGPT (OpenAI)","Ciencias Básicas (Matemáticas, Física);Redacción de Informes Técnicos","Explicar conceptos complejos;Traducir o redactar textos técnicos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","No noto diferencia","En parte, luego las verifico","Pues que siga de la misma manera, siento que las cosas son de cada quien, dependiendo de la honestidad de las personas y como se desenvuelven en el ámbito y a que aspiran. ","Pues que me ha ayudado bastante cuando no se que hacer y nadie me puede ayudar a resolver mis dudas o las problematicas que tengo en ese momento con mi tarea, proyecto, etc etc."
"2025/09/04 10:11:27 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Otra","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","No, me distrae","En parte, luego las verifico","Que nos enseñaran a usarla más como una herramienta y que nos ayuden a evitar hacer uso excesivo de la misma, hacer uso responsable.","Siento que la IA es buena para ayudarme a entender los temas sin embargo también creo que me a orillado a hacerme dependiente de esta, pues por las presiones en los tiempos y demás al final la mayoría solemos hacer uso de inteligencia artificial para pasar las materias, y sí la IA nos ayuda a entender conceptos o problemas pero cuando dejamos que haga todo nuestro trabajo es cuando esta mal pues nos vuelve inútiles. "
"2025/09/04 10:11:29 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Microsoft Bing AI / Copilot","Desarrollo de Aplicaciones Web/Móviles","Generar código;Depurar o corregir errores en código","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","No, me distrae","No, siempre las reviso y modifico","Esta bien que se permitiera, siempre y cuando el alumnado sepa explicar lo que escribió. Pedirles que presenten su trabajo de manera oral (en caso de sospechar uso de ia).","Me ha resultado util a la hora de resolver errores en la programación, también cuando quiero generar codigo pero no conozco las funciones de dicho lenguaje. Lo malo es que hay clases qje me dejo todo a la ia, las que considero de 'relleno'. Es buena la IA siempre y xuando se sepa como pedir las necesidades."
"2025/09/04 10:11:48 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);Otra","Bases de Datos;Redacción de Informes Técnicos;Otra","Depurar o corregir errores en código;Explicar conceptos complejos","Depende del contexto","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","No noto diferencia","En parte, luego las verifico","Me gustaria que en ves de prohibirla completamente se oriente a usarlas de una manera mas util, que no se usen como una solucion sencilla para resolver problemas si no que sirva como una orientacion que te de los pasos para resolver dicho problema, prohibir la IA en examenes me parece bien ya que todos buscamos la manera de quitarnos un peso de encima.","En una materia que no entendia como solucionar unos problemas y el profesor estaba muy ocupado como para atenderme, me dirigi a la IA para que me explique como resolverlas y algunas formas de aprender formulas de manera mas accesible, despues le pedi a la IA que me diera ejercicios complejos para yo poder resolverlos y resulta que funciono perfectamente, la IA te explica de una manera facil de entender en que te has equivocado y como solucionar distintos errores."
"2025/09/04 10:12:58 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Traducir o redactar textos técnicos;Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, un poco más","No, siempre las reviso y modifico","Pues primero ver que la IA no es mala solo que tienen que limitar mucho a los estudiantes ya que eso limita su aprendizaje de los estudiantes solo seria decirle a los estudiantes como usarla porque no es lo mismo de pedir algo a comprender lo que estas pidiendo y lo que estas recibiendo hay que dar entender eso ","me ayudado mucho la verdad al principio si dependia mucho de esta misma pero ahora intento no utilizarla mucho para aprender por mi cuenta y la uso pero yo se lo que pido y se lo que me esta dando la IA y me ayudado mucho en mis trabajos "
"2025/09/04 10:13:08 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot","Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, un poco más","Sí, siempre","Que la permitieran con el límite adecuado y enseñaran como usarla correctamente, para que aprendamos, pero no dependamos de ella. ","La mayoría de mis experiencias han sido positivas."
"2025/09/04 10:13:43 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Diariamente","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","En parte, luego las verifico","Me gustaría que los profesores y la institución integraran la inteligencia artificial como una herramienta complementaria en el aprendizaje, no como un sustituto","hay cosas que no entiendo y si le pido a la ia que me lo explique muchas veces le entiendo mejor al concepto "
